"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5235357",NA,13,0,0,22,0,0,0,0
"em_4950093",NA,12,8,0,239,55,0,0,0
"em_5310549",NA,12,6,0,167,34,0,0,0
"em_5269306",NA,12,6,0,75,12,0,0,0
"em_5275523",NA,12,6,0,51,9,0,0,0
"em_5238840",NA,12,4,0,96,6,0,0,0
"em_5292731",NA,12,3,0,153,10,0,0,1
"em_5171928",NA,12,3,0,136,52,0,0,0
"em_5140979",NA,12,3,0,55,5,0,0,0
"em_5127562",NA,12,3,0,18,2,0,0,0
"em_5070428",NA,12,2,0,113,47,0,0,0
"em_5363126",NA,12,1,1,2,1,1,0,0
"em_5262280",NA,12,1,0,45,2,0,0,0
"em_4830189",NA,12,0,0,93,27,0,0,0
"em_5347566",NA,12,0,0,9,0,0,0,0
"em_5201257",NA,11,9,-2,676,314,0,2,10
"em_5345878",NA,11,7,-3,185,26,0,3,0
"em_5282100",NA,11,6,0,46,9,0,0,1
"em_5344246",NA,11,5,0,53,7,0,0,0
"em_5367218",NA,11,1,24,2,1,24,0,0
"em_5355505",NA,10,7,244,149,89,254,10,0
"em_5161240",NA,10,6,0,212,70,0,0,6
"em_5310550",NA,10,5,0,120,19,0,0,0
"em_5241540",NA,10,4,0,76,10,0,0,0
"em_5197388",NA,10,4,0,32,4,0,0,0
"em_4870435",NA,10,1,0,9,0,0,0,0
"em_5222585",NA,9,8,-1,629,378,0,1,12
"em_5281893",NA,9,7,-1,473,293,0,1,8
"em_5367211",NA,9,4,24,5,4,24,0,0
"em_5358403",NA,9,4,18,200,16,18,0,0
"em_5078179",NA,9,4,0,136,67,0,0,3
"em_5210524",NA,9,3,0,52,6,0,0,0
"em_5059706",NA,9,3,0,38,3,0,0,0
"em_5096747",NA,9,2,0,289,114,0,0,6
"em_5177754",NA,9,2,0,108,10,0,0,0
"em_5231595",NA,9,2,0,96,12,0,0,0
"em_5200731",NA,9,2,0,35,1,0,0,0
